Date,Time,RSSI(dB),RxBt(V),A2(V),RPM(rpm),Rud,Ele,Thr,Ail,S1,6P,S2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
1970-01-01,00:06:08.990,76,7.9,0.0,1962,190,-74,388,121,1024,614,492,-1,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
1970-01-01,00:06:09.490,68,7.9,0.0,1957,35,-11,404,-179,1024,614,492,-1,-3,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
1970-01-01,00:06:09.990,71,7.9,0.0,1963,8,6,364,-129,1024,614,492,-1,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
1970-01-01,00:06:10.490,75,7.9,0.0,1969,-14,-93,385,-29,1024,614,492,-1,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
1970-01-01,00:06:10.990,77,7.9,0.0,1947,-144,-45,439,-44,1024,614,492,-1,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
1970-01-01,00:06:11.490,69,7.9,0.0,1950,-185,-10,413,-32,1024,614,492,-1,-3,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
1970-01-01,00:06:11.990,76,7.9,0.0,1958,-186,-62,443,-89,1024,614,492,-1,-3,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
1970-01-01,00:06:12.490,79,7.9,0.0,1971,-164,-19,391,-104,1024,614,492,-1,-3,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
1970-01-01,00:06:12.990,79,7.9,0.0,1979,-161,-135,406,50,1024,614,492,-2,-3,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
1970-01-01,00:06:13.490,79,7.9,0.0,1956,-166,13,384,-6,1024,614,492,-1,-3,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
1970-01-01,00:06:13.990,79,7.9,0.0,1974,-158,-28,388,137,1024,614,492,-1,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
1970-01-01,00:06:14.490,65,7.9,0.0,1964,56,5,341,99,1024,614,492,-1,-3,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
1970-01-01,00:06:14.990,75,7.9,0.0,1973,100,-61,341,-22,1024,614,492,-1,-3,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
1970-01-01,00:06:15.490,81,7.9,0.0,1986,142,-42,364,-20,1024,614,492,-1,-3,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
1970-01-01,00:06:15.990,81,7.9,0.0,1985,144,-19,373,-19,1024,614,492,-1,-3,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
1970-01-01,00:06:16.490,80,7.9,0.0,1993,164,-161,353,2,1024,614,492,-1,-3,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
1970-01-01,00:06:16.990,77,7.9,0.0,2000,211,-89,307,-10,1024,614,492,-1,-3,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
1970-01-01,00:06:17.490,72,7.9,0.0,2016,230,-87,296,-10,1024,614,492,-1,-3,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
1970-01-01,00:06:17.990,67,7.9,0.0,2031,241,-87,323,-89,1024,614,492,-1,-3,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
1970-01-01,00:06:18.490,65,7.9,0.0,2022,239,-203,536,-208,1024,614,492,-2,-3,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
1970-01-01,00:06:18.990,78,7.9,0.0,1934,-41,6,309,-174,1024,614,492,-1,-3,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
1970-01-01,00:06:19.490,77,7.9,0.0,1980,-143,-68,305,36,1024,614,492,-1,-3,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
1970-01-01,00:06:19.990,79,7.9,0.0,2031,-192,46,1024,-36,1024,614,492,-1,-3,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
1970-01-01,00:06:20.490,64,7.9,0.0,1569,4,8,347,64,1024,614,492,-1,-3,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
1970-01-01,00:06:20.990,62,7.9,0.0,1954,-130,-132,-120,65,1024,614,492,-2,-3,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
1970-01-01,00:06:21.490,71,7.9,0.0,2066,-12,110,255,-6,1024,614,492,-1,-3,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
1970-01-01,00:06:21.990,70,7.9,0.0,2074,-97,82,395,-64,1024,614,492,-1,-3,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
1970-01-01,00:06:22.490,68,7.9,0.0,2031,6,-50,361,-10,1024,614,492,-1,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
1970-01-01,00:06:22.990,70,7.9,0.0,2030,6,43,309,-49,1024,614,492,-1,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
1970-01-01,00:06:23.490,67,7.9,0.0,2023,6,117,299,-93,1024,614,492,-1,-3,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
1970-01-01,00:06:23.990,65,7.9,0.0,2032,6,-30,284,-44,1024,614,492,-1,-3,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
1970-01-01,00:06:24.490,63,7.9,0.0,2039,6,46,297,-15,1024,614,492,-1,-3,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
1970-01-01,00:06:24.990,65,7.9,0.0,2022,6,21,321,6,1024,614,492,-1,-3,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
1970-01-01,00:06:25.500,67,7.9,0.0,2014,6,-72,367,13,1024,614,492,-1,-3,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
1970-01-01,00:06:26.010,71,7.9,0.0,2020,6,99,340,3,1024,614,492,-2,-3,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
1970-01-01,00:06:26.510,68,7.9,0.0,2017,124,-1,395,67,1024,614,492,-1,-3,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
1970-01-01,00:06:27.010,75,7.9,0.0,2012,142,-27,418,-6,1024,614,492,-1,-3,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
1970-01-01,00:06:27.510,68,7.9,0.0,2018,115,-85,387,56,1024,614,492,-1,-3,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
1970-01-01,00:06:28.010,69,7.9,0.0,1998,8,-26,361,-4,1024,614,492,-1,-3,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
1970-01-01,00:06:28.510,69,7.9,0.0,2038,6,40,353,-79,1024,614,492,-1,-3,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
1970-01-01,00:06:29.010,71,7.9,0.0,2042,-176,-35,361,-49,1024,614,492,-1,-3,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
1970-01-01,00:06:29.510,70,7.9,0.0,2030,-221,-36,372,-102,1024,614,492,-1,-3,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
1970-01-01,00:06:30.010,74,7.9,0.0,2032,-238,-7,374,-76,1024,614,492,-1,-3,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
1970-01-01,00:06:30.510,82,7.9,0.0,2023,-235,-59,380,-8,1024,614,492,-1,-3,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
1970-01-01,00:06:31.010,81,7.9,0.0,2004,-109,50,364,-39,1024,614,492,-1,-3,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
1970-01-01,00:06:31.510,80,7.9,0.0,2017,-237,-22,403,-6,1024,614,492,-1,-3,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
1970-01-01,00:06:32.010,73,7.9,0.0,2027,-690,24,508,-49,1024,614,492,-2,-3,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
1970-01-01,00:06:32.510,75,7.9,0.0,2034,-1024,5,348,-47,1024,614,492,-2,-3,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
1970-01-01,00:06:33.010,79,7.9,0.0,2005,-1024,9,347,14,1024,614,492,-2,-3,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
1970-01-01,00:06:33.510,77,7.9,0.0,1870,6,171,397,-50,1024,614,492,-1,-3,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
1970-01-01,00:06:34.010,70,7.9,0.0,1959,99,-60,334,31,1024,614,492,-1,-3,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
