Date,Time,Rud,Ele,Thr,Ail,S1,6P,S2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
1970-01-01,00:07:13.200,1,1,2,1,1024,204,277,0,-1,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.2
1970-01-01,00:07:13.700,1,2,2,1,1024,204,277,0,-1,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.2
1970-01-01,00:07:14.200,1,1,2,1,1024,204,277,-1,-1,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.2
1970-01-01,00:07:14.700,-297,2,2,1,1024,204,277,0,-1,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.2
1970-01-01,00:07:15.200,-1024,2,1,1,1024,204,277,-1,-1,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.2
1970-01-01,00:07:15.700,-1024,2,2,1,1024,204,277,-1,-1,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.2
1970-01-01,00:07:16.200,-1024,2,2,1,1024,204,277,-1,-1,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.2
1970-01-01,00:07:16.700,2,1,346,1,1024,204,277,0,-1,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.2
1970-01-01,00:07:17.200,2,1,1024,1,1024,204,277,0,-1,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.2
1970-01-01,00:07:17.700,2,1,1024,1,1024,204,277,-1,-1,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.2
1970-01-01,00:07:18.200,2,1,1024,1,1024,204,277,-1,-1,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.2
1970-01-01,00:07:18.700,2,2,1024,1,1024,204,277,0,-1,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.2
1970-01-01,00:07:19.200,2,1,1024,1,1024,204,277,0,-1,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.2
1970-01-01,00:07:19.700,2,-50,1024,1,1024,204,277,0,-1,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.2
1970-01-01,00:07:20.200,2,1,1024,1,1024,204,277,-1,-1,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.2
1970-01-01,00:07:20.700,1,1,571,1,1024,204,277,0,-1,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.2
1970-01-01,00:07:21.200,1,2,52,1,1024,204,277,-1,-1,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.2
