Date,Time,RSSI(dB),RxBt(V),VFAS(V),Curr(A),RPM(rpm),Tmp1(@C),Tmp2(@C),RB1C(mAh),RB2C(mAh),Rud,Ele,Thr,Ail,S1,6P,S2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2000-01-01,02:37:45.130,0,0.0,0.00,0.0,0,0,0,0,0,1,-1000,0,-1024,614,-24,-2,-991,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2000-01-01,02:37:45.630,0,0.0,0.00,0.0,0,0,0,0,0,2,-1000,1,-1024,614,-24,-1,-989,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2000-01-01,02:37:46.140,0,0.0,0.00,0.0,0,0,0,0,0,2,-1000,0,-1024,614,-24,-1,-991,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2000-01-01,00:48:53.260,0,0.0,0.00,0.0,0,0,0,0,0,3,-1024,1,29,614,-180,0,0,998,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.8
2000-01-01,00:48:53.800,0,0.0,0.00,0.0,0,0,0,0,0,2,-1024,0,29,614,-180,0,0,998,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.8
2000-01-01,00:48:54.340,0,0.0,0.00,0.0,0,0,0,0,0,3,-1024,1,30,614,-180,0,0,998,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.8
2000-01-01,00:48:54.880,0,0.0,0.00,0.0,0,0,0,0,0,3,-1024,1,29,614,-180,0,0,998,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.8
2000-01-01,00:48:55.420,0,0.0,0.00,0.0,0,0,0,0,0,2,-1024,0,29,614,-180,0,0,998,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.8
2000-01-01,00:48:55.960,0,0.0,0.00,0.0,0,0,0,0,1,3,-1024,1,29,614,-181,0,0,998,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.8
2000-01-01,00:48:56.500,0,0.0,0.00,0.0,0,0,0,0,0,2,-1024,1,29,614,-180,0,0,998,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.8
2000-01-01,00:48:57.050,0,0.0,0.00,0.0,0,0,0,0,0,2,-1024,1,29,614,-180,0,0,998,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.8
2000-01-01,00:48:57.590,0,0.0,0.00,0.0,0,0,0,0,0,2,-1024,0,29,614,-180,0,0,998,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.8
2000-01-01,00:48:58.130,0,0.0,0.00,0.0,0,0,0,0,0,2,-1024,0,30,614,-181,0,0,998,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.8
2000-01-01,00:48:58.670,0,0.0,0.00,0.0,0,0,0,0,0,2,-1024,1,29,614,-181,0,0,998,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.8
2000-01-01,00:48:59.220,0,0.0,0.00,0.0,0,0,0,0,0,2,-1024,1,29,614,-180,0,0,998,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.8
2000-01-01,00:48:59.760,0,0.0,0.00,0.0,0,0,0,0,0,2,-1024,0,29,614,-180,0,0,998,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.8
