Date,Time,RSSI(dB),RxBt(V),RPM(rpm),Rud,Ele,Thr,Ail,S1,6P,S2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2019-12-07,16:23:56.140,89,7.9,1834,-1024,19,555,-7,1024,-205,286,-1,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.7
2019-12-07,16:23:56.640,85,7.9,1842,-1024,71,323,-168,1024,-205,286,-1,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.7
2019-12-07,16:23:57.140,88,7.9,1737,2,-815,332,9,1024,-205,286,-1,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.7
2019-12-07,16:23:57.640,88,7.9,1707,1,-1013,283,68,1024,-205,286,-2,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.7
2019-12-07,16:23:58.140,90,7.9,1738,-851,389,-694,580,1024,-205,285,-1,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.7
2019-12-07,16:23:58.640,86,7.9,1750,-504,-120,849,-144,1024,-205,285,-1,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.7
2019-12-07,16:23:59.140,88,7.9,1709,-331,366,333,842,1024,-205,286,-1,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.7
2019-12-07,16:23:59.640,80,7.9,1693,-79,-275,19,148,1024,-205,285,-1,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.7
2019-12-07,16:24:00.140,78,7.9,1941,-72,-367,-414,-7,1024,-205,286,-1,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.7
2019-12-07,16:24:00.640,82,7.9,1883,-902,625,-417,-205,1024,-205,285,-1,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.7
2019-12-07,16:24:01.140,85,7.9,1930,-574,73,1011,151,1024,-205,286,-1,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.7
2019-12-07,16:24:01.640,86,7.9,1816,-443,874,-747,-248,1024,-205,286,-1,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.7
2019-12-07,16:24:02.140,93,7.9,1760,-677,287,-758,307,1024,-205,285,-1,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.7
2019-12-07,16:24:02.640,87,7.9,1798,-469,-88,-720,124,1024,-205,286,-1,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.7
2019-12-07,16:24:03.140,88,7.9,1860,-310,408,-48,-2,1024,-205,285,-1,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.7
2019-12-07,16:24:03.640,93,7.9,1864,10,94,834,-233,1024,-205,286,-1,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.7
2019-12-07,16:24:04.140,95,7.9,1798,-486,370,-893,-478,1024,-205,285,-1,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.7
2019-12-07,16:24:04.640,93,7.8,1711,9,-928,252,172,1024,-205,286,-1,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.7
2019-12-07,16:24:05.140,83,7.8,1748,-184,207,752,473,1024,-205,286,-1,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.7
